title,address,access,station,access_extracted,running_cost,initial_cost,menseki,age1,floor,All floor,running_cost_per_m2,running_cost_per_access
ルミエール葛西,東京都江戸川区東葛西５,"
東京メトロ東西線/葛西駅 歩8分
東京メトロ東西線/西葛西駅 歩13分
ＪＲ京葉線/葛西臨海公園駅 バス9分 (バス停)仲町西組 歩7分
",葛西,8.0,970006000.0,1940000000.0,44.28m2,28.0,0,7.0,22045590.90909091,121250750.0
スプラウトビル,東京都江戸川区東葛西５,"
東京メトロ東西線/葛西駅 歩7分
東京メトロ東西線/西葛西駅 歩13分
都営新宿線/船堀駅 歩30分
",葛西,7.0,1000004000.0,1000000000.0,44m2,36.0,0,4.0,22727363.636363637,142857714.2857143
サミットハイツ,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩10分

",浦安,10.0,930003000.0,1395000000.0,45.23m2,14.0,0,2.0,20666733.333333332,93000300.0
東京メトロ東西線 南行徳駅 2階建 築14年,東京都江戸川区東葛西５,"
東京メトロ東西線/南行徳駅 歩10分
東京メトロ東西線/浦安駅 歩10分
都営新宿線/一之江駅 歩29分
",南行徳,10.0,930003000.0,1395000000.0,45.23m2,14.0,0,2.0,20666733.333333332,93000300.0
エルエステート,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩24分
ＪＲ京葉線/新浦安駅 歩30分
",浦安,10.0,790003000.0,2370000000.0,31m2,12.0,0,2.0,25483967.741935484,79000300.0
アクアヒルズ,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩14分
都営新宿線/一之江駅 歩27分
",浦安,10.0,950005000.0,950000000.0,56.4m2,19.0,0,5.0,16964375.0,95000500.0
東京メトロ東西線 浦安駅 2階建 築10年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩10分

",浦安,10.0,990003000.0,990000000.0,45.97m2,10.0,0,2.0,22000066.666666668,99000300.0
東京メトロ東西線 浦安駅 2階建 築10年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩10分

",浦安,10.0,990003300.0,990000000.0,45.97m2,10.0,0,2.0,22000073.333333332,99000330.0
東京メトロ東西線 浦安駅 5階建 築19年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩20分
都営新宿線/一之江駅 歩29分
",浦安,10.0,950005000.0,950000000.0,56.4m2,19.0,0,5.0,16964375.0,95000500.0
LIBERTY,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩26分
ＪＲ京葉線/新浦安駅 バス17分 (バス停)堀江三丁目 歩3分
",浦安,10.0,1060003000.0,2120000000.0,45.91m2,12.0,0,3.0,23555622.222222224,106000300.0
KISMET浦安,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩9分
ＪＲ京葉線/新浦安駅 バス9分 (バス停)神明裏 歩1分
東京メトロ東西線/南行徳駅 歩17分
",浦安,9.0,1060005000.0,2120000000.0,45.97m2,18.0,0,4.0,23555666.666666668,117778333.33333333
ラヴィベール,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩12分
ＪＲ京葉線/市川塩浜駅 歩39分
",浦安,10.0,1170007000.0,2340000000.0,41.31m2,3.0,0,4.0,28536756.097560976,117000700.0
ラヴィベール,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩12分
ＪＲ京葉線/市川塩浜駅 歩39分
",浦安,10.0,1180007000.0,2360000000.0,41.31m2,3.0,0,4.0,28780658.536585364,118000700.0
